generation,mean_reward,best_reward,sigma
0,-26.58,-13.85,0.0495
1,-17.51,-13.16,0.0490
2,-26.29,-9.50,0.0486
3,-30.29,-9.50,0.0482
4,-16.55,-8.41,0.0478
5,-18.66,-8.41,0.0474
6,-19.57,-6.05,0.0471
7,-17.97,9.01,0.0467
8,-24.25,9.01,0.0464
9,-23.81,9.01,0.0461
10,-28.54,9.01,0.0458
11,-27.59,9.01,0.0456
12,-23.28,9.01,0.0453
13,-18.71,9.01,0.0450
14,-28.59,9.01,0.0448
15,-24.47,9.01,0.0445
16,-27.21,9.01,0.0443
17,-29.27,9.01,0.0440
18,-25.03,9.01,0.0438
19,-28.79,9.01,0.0436
20,-27.06,9.01,0.0434
21,-29.15,9.01,0.0432
22,-24.26,9.01,0.0430
23,-18.84,9.01,0.0428
24,-29.90,9.01,0.0426
25,-31.65,9.01,0.0424
26,-22.94,9.01,0.0423
27,-26.61,9.01,0.0421
28,-30.74,9.01,0.0419
29,-34.40,9.01,0.0418
30,-29.61,9.01,0.0416
31,-35.28,9.01,0.0415
32,-30.75,77.37,0.0413
33,-25.36,77.37,0.0412
34,-29.38,77.37,0.0411
35,-24.20,77.37,0.0409
36,-35.43,77.37,0.0408
37,-33.27,77.37,0.0407
38,-24.97,77.37,0.0406
39,-28.99,77.37,0.0405
40,-30.67,77.37,0.0403
41,-28.89,77.37,0.0402
42,-28.89,77.37,0.0401
43,-36.81,77.37,0.0400
44,-33.42,77.37,0.0399
45,-36.67,77.37,0.0398
46,-34.67,77.37,0.0397
47,-28.06,77.37,0.0397
48,-35.30,77.37,0.0396
49,-37.64,77.37,0.0395
50,-37.88,77.37,0.0394
51,-28.58,77.37,0.0393
52,-31.55,77.37,0.0393
53,-37.79,77.37,0.0392
54,-36.98,77.37,0.0391
55,-40.13,77.37,0.0391
56,-34.35,77.37,0.0390
57,-43.10,77.37,0.0389
58,-43.27,77.37,0.0389
59,-36.71,77.37,0.0388
60,-31.50,157.62,0.0387
61,-34.16,157.62,0.0387
62,-44.96,157.62,0.0386
63,-45.21,157.62,0.0386
64,-36.60,157.62,0.0385
65,-45.81,157.62,0.0384
66,-42.43,157.62,0.0384
67,-41.48,157.62,0.0383
68,-36.91,157.62,0.0383
69,-45.15,157.62,0.0382
70,-37.66,157.62,0.0381
71,-35.94,157.62,0.0381
72,-34.52,157.62,0.0380
73,-32.84,157.62,0.0380
74,-39.90,157.62,0.0380
75,-38.75,157.62,0.0379
76,-33.42,157.62,0.0379
77,-32.60,157.62,0.0378
78,-39.66,157.62,0.0378
79,-42.25,157.62,0.0378
80,-38.86,157.62,0.0377
81,-40.91,157.62,0.0377
82,-40.11,157.62,0.0376
83,-34.20,157.62,0.0376
84,-30.83,157.62,0.0376
85,-39.35,157.62,0.0376
86,-36.30,157.62,0.0375
87,-34.60,157.62,0.0375
88,-33.31,157.62,0.0375
89,-44.01,157.62,0.0374
90,-41.61,157.62,0.0374
91,-44.25,157.62,0.0374
92,-47.78,157.62,0.0373
93,-36.12,157.62,0.0373
94,-42.28,157.62,0.0373
95,-39.15,157.62,0.0373
96,-39.79,157.62,0.0372
97,-42.04,157.62,0.0372
98,-47.23,157.62,0.0372
99,-38.01,157.62,0.0372
100,-42.46,157.62,0.0371
101,-44.64,157.62,0.0371
102,-40.84,157.62,0.0371
103,-42.22,157.62,0.0371
104,-32.87,157.62,0.0371
105,-44.64,157.62,0.0371
106,-35.74,157.62,0.0370
107,-35.59,157.62,0.0370
108,-51.82,157.62,0.0370
109,-38.34,157.62,0.0370
110,-45.22,157.62,0.0370
111,-44.28,157.62,0.0369
112,-43.85,157.62,0.0369
113,-36.76,157.62,0.0369
114,-53.05,157.62,0.0369
115,-39.07,157.62,0.0368
116,-44.23,157.62,0.0368
117,-37.84,157.62,0.0368
118,-31.21,157.62,0.0368
119,-51.22,157.62,0.0368
120,-39.41,157.62,0.0367
121,-46.17,157.62,0.0367
122,-42.87,157.62,0.0367
123,-42.65,157.62,0.0367
124,-42.73,157.62,0.0367
125,-43.23,157.62,0.0366
126,-40.53,157.62,0.0366
127,-54.09,157.62,0.0366
128,-41.90,157.62,0.0366
129,-40.53,157.62,0.0366
130,-43.96,157.62,0.0366
131,-37.41,157.62,0.0366
132,-47.52,157.62,0.0366
133,-43.56,157.62,0.0366
134,-48.01,157.62,0.0366
135,-49.75,157.62,0.0366
136,-34.45,157.62,0.0366
137,-46.49,157.62,0.0366
138,-46.06,157.62,0.0366
139,-40.10,157.62,0.0366
140,-45.67,157.62,0.0366
141,-45.00,157.62,0.0366
142,-45.21,157.62,0.0366
143,-33.00,157.62,0.0366
144,-51.90,157.62,0.0366
145,-45.17,157.62,0.0366
146,-37.68,157.62,0.0366
147,-51.66,157.62,0.0366
148,-51.56,157.62,0.0366
149,-45.96,157.62,0.0366
