generation,mean_reward,best_reward,sigma
0,-27.56,3.70,0.2990
1,-25.78,4.16,0.2981
2,-25.21,6.60,0.2972
3,-30.36,6.60,0.2963
4,-27.94,6.60,0.2955
5,-27.26,6.60,0.2947
6,-25.37,12.66,0.2939
7,-25.94,12.66,0.2931
8,-30.06,12.66,0.2923
9,-26.81,12.66,0.2915
10,-31.10,12.66,0.2908
11,-30.97,12.66,0.2901
12,-27.06,12.66,0.2894
13,-29.49,12.66,0.2887
14,-28.26,12.66,0.2880
15,-27.65,12.66,0.2873
16,-27.11,12.66,0.2866
17,-31.31,12.66,0.2860
18,-28.39,12.66,0.2853
19,-30.71,12.66,0.2847
20,-27.68,12.66,0.2841
21,-29.67,12.66,0.2835
22,-28.66,12.66,0.2829
23,-26.15,12.66,0.2823
24,-28.35,12.66,0.2817
25,-26.13,12.66,0.2811
26,-28.33,12.66,0.2805
27,-27.12,12.66,0.2799
28,-25.17,12.66,0.2794
29,-30.06,12.66,0.2788
30,-29.56,12.66,0.2783
31,-29.32,12.66,0.2778
32,-27.45,12.66,0.2772
33,-27.41,12.66,0.2767
34,-29.19,12.66,0.2762
35,-29.11,12.66,0.2757
36,-30.10,12.66,0.2752
37,-26.24,14.63,0.2747
38,-25.42,14.63,0.2742
39,-26.40,14.63,0.2737
40,-25.76,14.63,0.2732
41,-28.24,14.63,0.2727
42,-29.37,14.63,0.2722
43,-29.97,14.63,0.2718
44,-31.08,14.63,0.2713
45,-30.73,14.63,0.2708
46,-27.97,14.63,0.2704
47,-28.30,14.63,0.2699
48,-29.23,14.63,0.2695
49,-30.01,14.63,0.2691
50,-28.61,14.63,0.2686
51,-30.72,14.63,0.2682
52,-28.75,14.63,0.2678
53,-31.87,14.63,0.2674
54,-28.22,14.63,0.2670
55,-31.33,14.63,0.2665
56,-29.90,14.63,0.2661
57,-27.29,14.63,0.2657
58,-28.96,14.63,0.2653
59,-26.79,14.63,0.2649
60,-29.13,14.63,0.2645
61,-28.53,14.63,0.2642
62,-29.55,14.63,0.2638
63,-27.81,14.63,0.2634
64,-28.15,14.63,0.2630
65,-28.90,14.63,0.2627
66,-30.89,14.63,0.2623
67,-28.20,14.63,0.2619
68,-27.88,14.63,0.2616
69,-29.45,14.63,0.2612
70,-29.14,14.63,0.2609
71,-30.26,14.63,0.2605
72,-29.70,14.63,0.2602
73,-30.81,14.63,0.2599
74,-29.87,14.63,0.2595
75,-26.85,14.63,0.2592
76,-31.89,14.63,0.2589
77,-28.96,14.63,0.2585
78,-30.19,14.63,0.2582
79,-29.76,14.63,0.2579
80,-26.17,14.63,0.2576
81,-29.46,14.63,0.2573
82,-29.37,14.63,0.2569
83,-30.12,14.63,0.2566
84,-30.22,14.63,0.2563
85,-29.90,14.63,0.2560
86,-30.35,14.63,0.2557
87,-24.30,14.63,0.2554
88,-27.65,14.63,0.2551
89,-29.06,14.63,0.2548
90,-28.42,14.63,0.2545
91,-28.99,14.63,0.2542
92,-30.05,14.63,0.2540
93,-30.25,14.63,0.2537
94,-27.94,14.63,0.2534
95,-26.18,14.63,0.2531
96,-27.37,14.63,0.2528
97,-30.09,14.63,0.2526
98,-30.63,14.63,0.2523
99,-29.17,14.63,0.2520
100,-27.72,14.63,0.2517
101,-27.59,14.63,0.2515
102,-29.26,14.63,0.2512
103,-29.30,14.63,0.2510
104,-30.54,14.63,0.2507
105,-28.08,14.63,0.2504
106,-28.01,14.63,0.2502
107,-28.91,14.63,0.2499
108,-30.44,14.63,0.2497
109,-30.74,14.63,0.2494
110,-25.25,14.63,0.2492
111,-29.06,14.63,0.2489
112,-26.38,15.66,0.2487
113,-29.31,15.66,0.2484
114,-28.49,15.66,0.2482
115,-28.65,15.66,0.2480
116,-26.98,26.54,0.2477
117,-32.11,26.54,0.2475
118,-31.10,26.54,0.2472
119,-31.06,26.54,0.2470
120,-30.63,26.54,0.2467
121,-29.32,26.54,0.2465
122,-30.30,26.54,0.2463
123,-29.93,26.54,0.2460
124,-31.22,26.54,0.2458
125,-24.82,26.54,0.2456
126,-30.55,26.54,0.2454
127,-28.78,26.54,0.2451
128,-28.31,26.54,0.2449
129,-28.06,26.54,0.2447
130,-28.52,26.54,0.2445
131,-29.06,26.54,0.2443
132,-35.52,26.54,0.2441
133,-28.11,26.54,0.2438
134,-28.57,26.54,0.2436
135,-25.03,26.54,0.2434
136,-28.49,26.54,0.2432
137,-27.23,26.54,0.2430
138,-26.33,26.54,0.2428
139,-30.36,26.54,0.2426
140,-31.64,26.54,0.2424
141,-26.38,26.54,0.2422
142,-30.42,26.54,0.2420
143,-30.85,26.54,0.2418
144,-30.26,26.54,0.2416
145,-29.42,26.54,0.2414
146,-27.38,26.54,0.2412
147,-28.41,26.54,0.2411
148,-29.77,26.54,0.2409
149,-29.25,26.54,0.2407
150,-27.64,26.54,0.2405
151,-28.37,26.54,0.2403
152,-31.03,26.54,0.2401
153,-27.02,26.54,0.2400
154,-28.28,26.54,0.2398
155,-27.00,26.54,0.2396
156,-29.36,26.54,0.2394
157,-24.13,26.54,0.2392
158,-31.16,26.54,0.2391
159,-30.21,26.54,0.2389
160,-26.36,26.54,0.2387
161,-27.13,26.54,0.2385
162,-30.17,26.54,0.2383
163,-31.51,26.54,0.2382
164,-29.24,26.54,0.2380
165,-28.71,26.54,0.2378
166,-30.47,26.54,0.2376
167,-30.11,26.54,0.2375
168,-29.85,26.54,0.2373
169,-28.85,26.54,0.2371
170,-30.03,26.54,0.2369
171,-28.02,26.54,0.2368
172,-29.63,26.54,0.2366
173,-30.21,26.54,0.2364
174,-31.47,26.54,0.2362
175,-31.11,26.54,0.2361
176,-30.36,26.54,0.2359
177,-31.32,26.54,0.2358
178,-31.37,26.54,0.2356
179,-25.75,26.54,0.2354
180,-27.41,26.54,0.2353
181,-29.59,26.54,0.2351
182,-30.47,26.54,0.2350
183,-25.31,30.15,0.2348
184,-30.71,30.15,0.2346
185,-29.44,30.15,0.2345
186,-29.70,30.15,0.2343
187,-28.69,30.15,0.2342
188,-24.39,30.15,0.2340
189,-30.15,30.15,0.2339
190,-31.38,30.15,0.2337
191,-28.43,30.15,0.2336
192,-30.12,30.15,0.2334
193,-28.81,30.15,0.2333
194,-29.62,30.15,0.2331
195,-28.71,30.15,0.2330
196,-30.35,30.15,0.2328
197,-29.37,30.15,0.2327
198,-29.76,30.15,0.2325
199,-28.46,30.15,0.2324
