generation,mean_reward,best_reward,sigma
0,5.03,37.60,0.0990
1,10.29,37.60,0.0980
2,17.51,40.46,0.0971
3,2.23,45.20,0.0963
4,12.37,54.38,0.0955
5,2.68,54.38,0.0948
6,23.87,54.38,0.0941
7,20.70,59.11,0.0934
8,11.43,59.11,0.0928
9,21.20,68.45,0.0922
10,8.17,68.45,0.0916
11,18.73,69.67,0.0911
12,25.81,69.67,0.0906
13,34.70,81.27,0.0901
14,60.90,138.53,0.0896
15,24.33,138.53,0.0892
16,17.91,150.74,0.0887
17,69.53,251.41,0.0883
18,67.60,251.41,0.0879
19,94.90,251.41,0.0875
20,69.75,251.41,0.0871
21,82.72,251.41,0.0868
22,89.24,251.41,0.0864
23,102.13,251.41,0.0861
24,111.42,251.41,0.0858
25,119.64,279.98,0.0855
26,113.81,305.56,0.0852
27,128.63,305.56,0.0849
28,98.71,305.56,0.0846
29,112.36,324.35,0.0843
30,126.25,347.91,0.0841
31,88.87,347.91,0.0838
32,125.08,347.91,0.0835
33,202.78,352.77,0.0833
34,126.38,352.77,0.0830
35,215.96,362.32,0.0828
36,159.73,362.32,0.0826
37,109.84,362.32,0.0823
38,156.97,362.32,0.0821
39,108.56,362.32,0.0819
40,152.90,362.32,0.0817
41,176.55,365.00,0.0815
42,161.12,365.00,0.0813
43,181.29,365.00,0.0811
44,162.50,365.00,0.0809
45,192.17,365.00,0.0808
46,148.24,365.00,0.0806
47,160.22,365.00,0.0804
48,202.75,365.00,0.0803
49,134.39,365.00,0.0801
50,195.47,365.00,0.0800
51,202.22,365.00,0.0798
52,162.17,365.00,0.0797
53,148.10,365.00,0.0795
54,182.19,386.03,0.0794
55,111.89,386.03,0.0793
56,170.76,386.03,0.0791
57,175.61,386.03,0.0790
58,154.48,386.03,0.0789
59,155.35,386.03,0.0788
60,161.67,386.03,0.0787
61,154.62,386.03,0.0786
62,130.90,386.03,0.0785
63,186.66,386.03,0.0784
64,176.37,386.03,0.0782
65,179.10,386.03,0.0781
66,163.28,386.03,0.0781
67,148.29,386.03,0.0780
68,142.36,386.03,0.0779
69,133.10,386.03,0.0778
70,174.02,386.03,0.0777
71,221.07,386.03,0.0776
72,150.76,386.03,0.0775
73,175.13,386.03,0.0774
74,185.68,386.03,0.0774
75,199.44,386.03,0.0773
76,206.13,386.03,0.0772
77,222.34,386.03,0.0771
78,139.20,386.03,0.0770
79,167.44,386.03,0.0769
80,196.15,386.03,0.0768
81,200.38,386.03,0.0768
82,163.44,386.03,0.0767
83,168.94,386.03,0.0766
84,241.92,386.03,0.0765
85,199.75,386.03,0.0764
86,133.70,386.03,0.0764
87,202.64,386.03,0.0763
88,245.37,389.56,0.0762
89,146.16,389.56,0.0762
90,208.72,389.56,0.0761
91,212.88,389.56,0.0760
92,197.82,389.56,0.0759
93,101.75,389.56,0.0759
94,183.00,389.56,0.0758
95,151.49,389.56,0.0757
96,160.88,389.56,0.0757
97,169.57,389.56,0.0756
98,135.36,389.56,0.0755
99,214.10,420.14,0.0755
100,209.33,420.14,0.0754
101,187.43,420.14,0.0754
102,217.88,420.14,0.0753
103,214.79,420.14,0.0753
104,160.37,420.14,0.0753
105,176.11,420.14,0.0752
106,173.04,420.14,0.0752
107,187.72,420.14,0.0751
108,225.14,420.14,0.0751
109,190.94,420.14,0.0751
110,236.08,420.14,0.0751
111,201.51,420.14,0.0750
112,149.56,420.14,0.0750
113,240.43,420.14,0.0750
114,199.46,420.14,0.0749
115,161.38,420.14,0.0749
116,135.08,420.14,0.0749
117,169.43,420.14,0.0749
118,241.40,420.14,0.0748
119,154.41,420.14,0.0748
120,228.30,426.39,0.0748
121,221.36,426.39,0.0748
122,198.40,426.39,0.0748
123,218.31,426.39,0.0747
124,201.74,426.39,0.0747
125,200.44,426.39,0.0747
126,183.75,426.39,0.0746
127,234.53,426.39,0.0746
128,183.75,426.39,0.0746
129,204.56,426.39,0.0746
130,283.13,426.39,0.0745
131,205.87,426.39,0.0745
132,222.48,426.39,0.0745
133,248.99,426.39,0.0745
134,251.66,426.39,0.0744
135,261.70,426.39,0.0744
136,184.58,426.39,0.0744
137,157.15,426.39,0.0743
138,228.87,426.39,0.0743
139,165.00,426.39,0.0743
140,168.31,426.39,0.0742
141,188.31,426.39,0.0742
142,205.77,426.39,0.0742
143,253.54,457.20,0.0742
144,187.88,457.20,0.0741
145,123.97,457.20,0.0741
146,194.03,457.20,0.0741
147,246.70,457.20,0.0741
148,214.44,457.20,0.0741
149,197.56,457.20,0.0741
150,210.42,457.20,0.0740
151,244.98,457.20,0.0740
152,259.69,457.20,0.0740
153,232.44,457.20,0.0739
154,236.89,457.20,0.0739
155,217.33,457.20,0.0739
156,258.47,457.20,0.0739
157,227.47,457.20,0.0738
158,197.87,457.20,0.0738
159,218.49,457.20,0.0738
160,273.98,457.20,0.0737
161,227.62,457.20,0.0737
162,207.05,457.20,0.0737
